game_id,season,game_date,game_month,home_team,home_team_abbr,away_team,away_team_abbr,ballpark,ballpark_city,park_factor,attendance,home_sp_name,home_sp_player_id,home_sp_era,home_sp_whip,home_sp_k9,home_sp_bb9,home_sp_innings_pitched,home_sp_wins,home_sp_losses,home_sp_days_rest,away_sp_name,away_sp_player_id,away_sp_era,away_sp_whip,away_sp_k9,away_sp_bb9,away_sp_innings_pitched,away_sp_wins,away_sp_losses,away_sp_days_rest,home_lineup_avg_ops,home_lineup_avg_ba,home_lineup_total_hr,home_lineup_avg_krate,home_lineup_avg_bbrate,home_lineup_avg_skill,away_lineup_avg_ops,away_lineup_avg_ba,away_lineup_total_hr,away_lineup_avg_krate,away_lineup_avg_bbrate,away_lineup_avg_skill,home_team_wins,home_team_losses,home_team_win_pct,home_team_run_diff,home_team_last10_wins,home_team_home_win_pct,home_team_runs_for,home_team_runs_against,away_team_wins,away_team_losses,away_team_win_pct,away_team_run_diff,away_team_last10_wins,away_team_away_win_pct,away_team_runs_for,away_team_runs_against,weather_condition,temperature_f,wind_mph,wind_direction,humidity_pct,precipitation_chance,ump_k_rate_bias,sp_era_diff,sp_whip_diff,sp_k9_diff,sp_bb9_diff,lineup_ops_diff,lineup_skill_diff,win_pct_diff,run_diff_diff,last10_wins_diff,home_win_prob_true,home_runs_scored,away_runs_scored,total_runs,run_margin,winner,loser
1,1,2022-05-15,5,Maunesha River Rats,MRR,Wisconsin Cheese Kings,WCK,River Rats Ballpark,Maunesha,1.02,1541,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,0.723,0.27,7,0.199,0.057,0.442,0.749,0.273,10,0.19,0.055,0.487,1,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,Partly Cloudy,63.8,9.7,In,78,0.12,-0.0095,1.3,-0.189,-0.3,0.59,-0.026,-0.045,0.0,0,0,0.3726,10,6,16,4,Maunesha River Rats,Wisconsin Cheese Kings
2,1,2022-05-17,5,Maunesha River Rats,MRR,Wisconsin Cheese Kings,WCK,River Rats Ballpark,Maunesha,1.02,1209,Luke Ehrhardt,12,3.76,1.392,7.01,3.63,29.6,0,3,5,Parker Yates,28,3.91,1.244,8.46,3.65,20.9,1,0,5,0.723,0.27,7,0.199,0.057,0.442,0.749,0.273,10,0.19,0.055,0.487,0,0,1.0,4,1,1.0,10,6,0,1,0.0,-4,0,0.5,6,10,Light Rain,55.9,18.7,In,71,0.65,-0.0135,0.15,-0.148,-1.45,0.02,-0.026,-0.045,1.0,8,1,0.8014,11,14,25,-3,Wisconsin Cheese Kings,Maunesha River Rats
3,1,2022-05-18,5,Maunesha River Rats,MRR,Wisconsin Cheese Kings,WCK,River Rats Ballpark,Maunesha,1.02,1376,Hunter Werner,13,4.09,1.363,6.8,3.87,55.2,0,2,4,Garrett Bauer,29,2.85,1.232,9.98,2.11,65.7,4,1,7,0.723,0.27,7,0.199,0.057,0.442,0.749,0.273,10,0.19,0.055,0.487,0,1,0.5,1,1,0.5,21,20,1,1,0.5,-1,1,0.5,20,21,Overcast,64.0,19.0,L-R,53,0.28,-0.0006,-1.24,-0.131,-3.18,-1.76,-0.026,-0.045,0.0,2,0,0.3869,7,11,18,-4,Wisconsin Cheese Kings,Maunesha River Rats
4,1,2022-05-20,5,Maunesha River Rats,MRR,Northshore Bobbers,NSB,River Rats Ballpark,Maunesha,1.02,1089,Liam Lehmann,14,1.97,1.211,8.81,3.2,26.4,1,1,5,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,0.723,0.27,7,0.199,0.057,0.442,0.742,0.281,10,0.175,0.051,0.469,1,2,0.333,-3,1,0.333,28,31,0,0,0.5,0,0,0.5,0,0,Overcast,48.9,8.6,R-L,55,0.28,-0.0119,2.26,0.203,1.3,-0.06,-0.019,-0.027,-0.167,-3,1,0.6663,6,5,11,1,Maunesha River Rats,Northshore Bobbers
5,1,2022-05-21,5,Maunesha River Rats,MRR,Northshore Bobbers,NSB,River Rats Ballpark,Maunesha,1.02,751,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Sawyer Hagen,44,2.76,1.348,8.86,2.7,68.9,0,0,5,0.723,0.27,7,0.199,0.057,0.442,0.742,0.281,10,0.175,0.051,0.469,1,2,0.5,-2,2,0.5,34,36,0,1,0.0,-1,0,0.5,5,6,Light Rain,61.3,6.5,In,84,0.65,-0.0189,-0.29,0.04,-0.09,-0.46,-0.019,-0.027,0.5,-1,2,0.794,10,8,18,2,Maunesha River Rats,Northshore Bobbers
6,1,2022-05-23,5,Maunesha River Rats,MRR,Northshore Bobbers,NSB,River Rats Ballpark,Maunesha,1.02,1111,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Liam Bauer,45,3.8,1.318,7.72,3.93,33.8,1,2,5,0.723,0.27,7,0.199,0.057,0.442,0.742,0.281,10,0.175,0.051,0.469,1,2,0.6,0,3,0.6,44,44,0,2,0.0,-3,0,0.5,13,16,Light Rain,73.0,15.0,L-R,36,0.65,-0.017,0.75,0.01,1.05,0.77,-0.019,-0.027,0.6,3,3,0.8705,9,2,11,7,Maunesha River Rats,Northshore Bobbers
7,1,2022-05-24,5,Maunesha River Rats,MRR,Lakeside Beach Bums,LBB,River Rats Ballpark,Maunesha,1.02,1045,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Owen Mueller,59,3.91,1.199,8.6,3.82,14.7,1,2,4,0.723,0.27,7,0.199,0.057,0.442,0.735,0.271,3,0.204,0.045,0.466,1,2,0.667,7,4,0.667,53,46,0,0,0.5,0,0,0.5,0,0,Light Rain,53.3,8.9,L-R,57,0.65,0.0231,0.86,-0.109,0.17,0.66,-0.012,-0.024,0.167,7,4,0.6766,10,5,15,5,Maunesha River Rats,Lakeside Beach Bums
8,1,2022-05-25,5,Maunesha River Rats,MRR,Lakeside Beach Bums,LBB,River Rats Ballpark,Maunesha,1.02,1536,Luke Ehrhardt,12,3.76,1.392,7.01,3.63,29.6,0,3,5,Nolan Xavier,60,3.4,1.389,8.66,4.4,35.8,0,3,4,0.723,0.27,7,0.199,0.057,0.442,0.735,0.271,3,0.204,0.045,0.466,0,2,0.714,12,5,0.714,63,51,0,1,0.0,-5,0,0.5,5,10,Clear,71.3,19.1,L-R,71,0.02,-0.0163,-0.36,-0.003,-1.65,0.77,-0.012,-0.024,0.714,17,5,0.9194,9,11,20,-2,Lakeside Beach Bums,Maunesha River Rats
9,1,2022-05-26,5,Maunesha River Rats,MRR,Lakeside Beach Bums,LBB,River Rats Ballpark,Maunesha,1.02,756,Hunter Werner,13,4.09,1.363,6.8,3.87,55.2,0,2,4,Justin Ortega,61,2.63,1.336,8.49,3.76,71.0,1,2,5,0.723,0.27,7,0.199,0.057,0.442,0.735,0.271,3,0.204,0.045,0.466,1,3,0.625,10,5,0.625,72,62,1,1,0.5,-3,1,0.5,16,19,Heavy Rain,54.1,12.4,Calm,48,0.92,0.0117,-1.46,-0.027,-1.69,-0.11,-0.012,-0.024,0.125,13,4,0.6453,10,2,12,8,Maunesha River Rats,Lakeside Beach Bums
10,1,2022-05-27,5,Maunesha River Rats,MRR,Johnson Creek Mapaches,JCM,River Rats Ballpark,Maunesha,1.02,988,Liam Lehmann,14,1.97,1.211,8.81,3.2,26.4,1,1,5,Jackson Dietrich,75,3.36,1.323,9.2,3.47,46.5,1,0,4,0.723,0.27,7,0.199,0.057,0.442,0.799,0.287,9,0.199,0.055,0.499,0,3,0.667,18,6,0.667,82,64,0,0,0.5,0,0,0.5,0,0,Light Rain,60.6,13.7,In,69,0.65,0.0272,1.39,0.112,-0.39,0.27,-0.076,-0.057,0.167,18,6,0.6518,10,14,24,-4,Johnson Creek Mapaches,Maunesha River Rats
