game_id,season,team,side,batting_order,player_id,player_name,position,batting_avg,obp,slg,ops,home_runs,rbi,k_rate,bb_rate
1,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
1,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
1,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
1,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
1,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
1,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
1,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
1,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
1,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
1,1,Wisconsin Cheese Kings,away,1,17,Kevin Werner,C,0.278,0.323,0.362,0.685,0,20,0.144,0.068
1,1,Wisconsin Cheese Kings,away,2,18,Marcus Sullivan,1B,0.24,0.279,0.425,0.704,0,23,0.112,0.029
1,1,Wisconsin Cheese Kings,away,3,19,Noah Falk,2B,0.298,0.388,0.491,0.879,2,16,0.333,0.068
1,1,Wisconsin Cheese Kings,away,4,20,Jared Dietrich,3B,0.313,0.349,0.408,0.757,2,29,0.1,0.081
1,1,Wisconsin Cheese Kings,away,5,21,Grayson Fowler,SS,0.307,0.372,0.486,0.858,2,20,0.35,0.087
1,1,Wisconsin Cheese Kings,away,6,22,Owen Fischer,LF,0.251,0.303,0.332,0.635,1,14,0.132,0.046
1,1,Wisconsin Cheese Kings,away,7,23,Colton Christensen,CF,0.277,0.341,0.366,0.707,0,14,0.235,0.036
1,1,Wisconsin Cheese Kings,away,8,24,Cameron Rohde,RF,0.236,0.319,0.454,0.773,1,7,0.089,0.047
1,1,Wisconsin Cheese Kings,away,9,25,Jared Falk,DH,0.26,0.332,0.412,0.744,2,12,0.215,0.037
2,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
2,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
2,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
2,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
2,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
2,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
2,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
2,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
2,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
2,1,Wisconsin Cheese Kings,away,1,17,Kevin Werner,C,0.278,0.323,0.362,0.685,0,20,0.144,0.068
2,1,Wisconsin Cheese Kings,away,2,18,Marcus Sullivan,1B,0.24,0.279,0.425,0.704,0,23,0.112,0.029
2,1,Wisconsin Cheese Kings,away,3,19,Noah Falk,2B,0.298,0.388,0.491,0.879,2,16,0.333,0.068
2,1,Wisconsin Cheese Kings,away,4,20,Jared Dietrich,3B,0.313,0.349,0.408,0.757,2,29,0.1,0.081
2,1,Wisconsin Cheese Kings,away,5,21,Grayson Fowler,SS,0.307,0.372,0.486,0.858,2,20,0.35,0.087
2,1,Wisconsin Cheese Kings,away,6,22,Owen Fischer,LF,0.251,0.303,0.332,0.635,1,14,0.132,0.046
2,1,Wisconsin Cheese Kings,away,7,23,Colton Christensen,CF,0.277,0.341,0.366,0.707,0,14,0.235,0.036
2,1,Wisconsin Cheese Kings,away,8,24,Cameron Rohde,RF,0.236,0.319,0.454,0.773,1,7,0.089,0.047
2,1,Wisconsin Cheese Kings,away,9,25,Jared Falk,DH,0.26,0.332,0.412,0.744,2,12,0.215,0.037
3,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
3,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
3,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
3,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
3,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
3,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
3,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
3,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
3,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
3,1,Wisconsin Cheese Kings,away,1,17,Kevin Werner,C,0.278,0.323,0.362,0.685,0,20,0.144,0.068
