player_id,team,name,type,position,batting_avg,obp,slg,ops,at_bats,hits,home_runs,rbi,stolen_bases,walks,strikeouts_bat,k_rate,bb_rate,skill_latent,era,whip,k9,bb9,innings_pitched,wins,losses,saves,days_rest
1,Maunesha River Rats,Tristan Young,batter,C,0.316,0.398,0.535,0.933,90.0,28.0,0.0,24.0,0.0,6.0,19.0,0.198,0.062,0.521,,,,,,,,,
2,Maunesha River Rats,Grant Bauer,batter,1B,0.287,0.357,0.364,0.721,148.0,42.0,1.0,16.0,0.0,6.0,29.0,0.188,0.039,0.387,,,,,,,,,
3,Maunesha River Rats,Grayson Jensen,batter,2B,0.282,0.333,0.375,0.708,187.0,52.0,1.0,33.0,3.0,15.0,23.0,0.114,0.074,0.741,,,,,,,,,
4,Maunesha River Rats,Miles Hoffman,batter,3B,0.25,0.297,0.353,0.65,101.0,25.0,0.0,15.0,2.0,8.0,23.0,0.211,0.073,0.346,,,,,,,,,
5,Maunesha River Rats,Xavier Xiong,batter,SS,0.305,0.367,0.44,0.807,148.0,45.0,2.0,11.0,10.0,7.0,16.0,0.103,0.045,0.618,,,,,,,,,
6,Maunesha River Rats,Liam Ulrich,batter,LF,0.257,0.323,0.376,0.699,89.0,22.0,2.0,6.0,2.0,6.0,38.0,0.4,0.063,0.344,,,,,,,,,
7,Maunesha River Rats,Luke Palmer,batter,CF,0.234,0.286,0.349,0.635,218.0,51.0,0.0,13.0,1.0,6.0,35.0,0.156,0.027,0.309,,,,,,,,,
8,Maunesha River Rats,Weston Turner,batter,RF,0.254,0.317,0.408,0.725,158.0,40.0,1.0,14.0,3.0,10.0,42.0,0.25,0.06,0.42,,,,,,,,,
9,Maunesha River Rats,Quinn Kowalski,batter,DH,0.248,0.317,0.315,0.632,82.0,20.0,0.0,14.0,0.0,6.0,15.0,0.17,0.068,0.289,,,,,,,,,
10,Maunesha River Rats,Owen Lehmann,batter,OF,0.324,0.355,0.499,0.854,130.0,42.0,1.0,16.0,4.0,9.0,19.0,0.137,0.065,0.413,,,,,,,,,
11,Maunesha River Rats,Derek Vandenberg,pitcher,SP,,,,,,,,,,,,,,0.583,3.05,1.308,8.77,3.16,18.4,2.0,1.0,0.0,4.0
12,Maunesha River Rats,Luke Ehrhardt,pitcher,SP,,,,,,,,,,,,,,0.354,3.76,1.392,7.01,3.63,29.6,0.0,3.0,0.0,5.0
13,Maunesha River Rats,Hunter Werner,pitcher,SP,,,,,,,,,,,,,,0.329,4.09,1.363,6.8,3.87,55.2,0.0,2.0,0.0,4.0
14,Maunesha River Rats,Liam Lehmann,pitcher,SP,,,,,,,,,,,,,,0.612,1.97,1.211,8.81,3.2,26.4,1.0,1.0,0.0,5.0
15,Maunesha River Rats,Trevor Schmidt,pitcher,RP,,,,,,,,,,,,,,0.584,3.24,1.209,8.78,3.13,24.6,1.0,0.0,4.0,7.0
16,Maunesha River Rats,Nick Burkhart,pitcher,RP,,,,,,,,,,,,,,0.465,3.14,1.306,8.06,3.78,4.4,0.0,0.0,0.0,4.0
17,Wisconsin Cheese Kings,Kevin Werner,batter,C,0.278,0.323,0.362,0.685,123.0,34.0,0.0,20.0,0.0,9.0,19.0,0.144,0.068,0.47,,,,,,,,,
18,Wisconsin Cheese Kings,Marcus Sullivan,batter,1B,0.24,0.279,0.425,0.704,199.0,47.0,0.0,23.0,5.0,6.0,23.0,0.112,0.029,0.464,,,,,,,,,
19,Wisconsin Cheese Kings,Noah Falk,batter,2B,0.298,0.388,0.491,0.879,123.0,36.0,2.0,16.0,4.0,9.0,44.0,0.333,0.068,0.414,,,,,,,,,
20,Wisconsin Cheese Kings,Jared Dietrich,batter,3B,0.313,0.349,0.408,0.757,147.0,46.0,2.0,29.0,2.0,13.0,16.0,0.1,0.081,0.684,,,,,,,,,
21,Wisconsin Cheese Kings,Grayson Fowler,batter,SS,0.307,0.372,0.486,0.858,94.0,28.0,2.0,20.0,0.0,9.0,36.0,0.35,0.087,0.502,,,,,,,,,
22,Wisconsin Cheese Kings,Owen Fischer,batter,LF,0.251,0.303,0.332,0.635,209.0,52.0,1.0,14.0,1.0,10.0,29.0,0.132,0.046,0.619,,,,,,,,,
23,Wisconsin Cheese Kings,Colton Christensen,batter,CF,0.277,0.341,0.366,0.707,189.0,52.0,0.0,14.0,1.0,7.0,46.0,0.235,0.036,0.312,,,,,,,,,
24,Wisconsin Cheese Kings,Cameron Rohde,batter,RF,0.236,0.319,0.454,0.773,203.0,47.0,1.0,7.0,9.0,10.0,19.0,0.089,0.047,0.504,,,,,,,,,
25,Wisconsin Cheese Kings,Jared Falk,batter,DH,0.26,0.332,0.412,0.744,184.0,47.0,2.0,12.0,2.0,7.0,41.0,0.215,0.037,0.412,,,,,,,,,
26,Wisconsin Cheese Kings,Cody Turner,batter,OF,0.254,0.32,0.448,0.768,143.0,36.0,1.0,11.0,0.0,5.0,37.0,0.25,0.034,0.282,,,,,,,,,
27,Wisconsin Cheese Kings,Brady Graham,pitcher,SP,,,,,,,,,,,,,,0.519,4.35,1.119,9.07,3.75,52.4,3.0,1.0,0.0,5.0
28,Wisconsin Cheese Kings,Parker Yates,pitcher,SP,,,,,,,,,,,,,,0.51,3.91,1.244,8.46,3.65,20.9,1.0,0.0,0.0,5.0
29,Wisconsin Cheese Kings,Garrett Bauer,pitcher,SP,,,,,,,,,,,,,,0.703,2.85,1.232,9.98,2.11,65.7,4.0,1.0,0.0,7.0
30,Wisconsin Cheese Kings,Joshua Pierson,pitcher,SP,,,,,,,,,,,,,,0.475,3.64,1.254,7.26,3.97,34.1,2.0,0.0,0.0,7.0
31,Wisconsin Cheese Kings,Derek Jensen,pitcher,RP,,,,,,,,,,,,,,0.3,3.9,1.262,6.86,4.16,26.6,1.0,2.0,2.0,6.0
32,Wisconsin Cheese Kings,Daniel Voss,pitcher,RP,,,,,,,,,,,,,,0.734,2.82,1.025,9.46,2.5,22.1,0.0,0.0,2.0,5.0
33,Northshore Bobbers,Kevin Lehmann,batter,C,0.28,0.363,0.423,0.786,166.0,46.0,1.0,16.0,2.0,6.0,20.0,0.116,0.035,0.44,,,,,,,,,
34,Northshore Bobbers,Bryce Robinson,batter,1B,0.257,0.306,0.361,0.667,154.0,39.0,1.0,11.0,0.0,5.0,29.0,0.182,0.031,0.309,,,,,,,,,
35,Northshore Bobbers,Kevin Carlson,batter,2B,0.302,0.387,0.432,0.819,97.0,29.0,2.0,13.0,0.0,6.0,25.0,0.243,0.058,0.334,,,,,,,,,
36,Northshore Bobbers,Caleb Nelson,batter,3B,0.266,0.313,0.474,0.787,188.0,50.0,0.0,16.0,4.0,11.0,28.0,0.141,0.055,0.447,,,,,,,,,
37,Northshore Bobbers,Cole Anderson,batter,SS,0.245,0.29,0.374,0.664,193.0,47.0,0.0,6.0,9.0,9.0,28.0,0.139,0.045,0.524,,,,,,,,,
38,Northshore Bobbers,Spencer Irvine,batter,LF,0.271,0.325,0.399,0.724,143.0,38.0,2.0,17.0,4.0,8.0,16.0,0.106,0.053,0.397,,,,,,,,,
